length	run	comparisons	blacklistings
872	1	22433	0
872	2	24221	0
872	3	22578	0
872	4	24199	0
872	5	22516	0
872	6	20604	1
872	7	20533	1
872	8	17222	1
872	9	17944	1
872	10	19511	1
880	1	25006	0
880	2	18210	1
880	3	22669	0
880	4	22266	0
880	5	17990	1
880	6	16994	1
880	7	24535	0
880	8	23421	0
880	9	20551	1
880	10	21508	1
888	1	23512	0
888	2	22225	1
888	3	19456	1
888	4	23212	0
888	5	22597	0
888	6	24047	0
888	7	24013	0
888	8	23006	0
888	9	17006	1
888	10	18616	1
896	1	24820	0
896	2	18925	1
896	3	24027	0
896	4	25316	0
896	5	24098	1
896	6	22885	1
896	7	24081	0
896	8	24480	0
896	9	17941	1
896	10	25492	0
904	1	23080	0
904	2	19136	1
904	3	23295	0
904	4	23092	0
904	5	22709	0
904	6	23375	0
904	7	20722	1
904	8	22302	0
904	9	24996	0
904	10	20769	1
912	1	23427	1
912	2	23829	0
912	3	19761	1
912	4	20597	1
912	5	22474	0
912	6	23770	0
912	7	22584	1
912	8	22845	1
912	9	20694	1
912	10	24388	0
920	1	24964	0
920	2	24494	1
920	3	24921	0
920	4	24906	0
920	5	25146	0
920	6	23324	0
920	7	24913	0
920	8	19483	1
920	9	23552	0
920	10	22846	1
928	1	25333	0
928	2	26131	0
928	3	24810	0
928	4	24669	0
928	5	19683	1
928	6	24333	0
928	7	26333	0
928	8	24367	0
928	9	24540	0
928	10	25092	0
936	1	22126	1
936	2	19342	1
936	3	20935	1
936	4	24453	0
936	5	23157	1
936	6	20803	1
936	7	23583	1
936	8	24370	1
936	9	22126	1
936	10	24589	0
944	1	25945	0
944	2	22435	1
944	3	24598	0
944	4	24070	0
944	5	25299	0
944	6	19988	1
944	7	24591	1
944	8	25686	0
944	9	25020	0
944	10	24853	0
952	1	19491	1
952	2	23115	1
952	3	26655	0
952	4	25565	0
952	5	25830	0
952	6	25866	0
952	7	25856	0
952	8	24555	0
952	9	26099	1
952	10	23914	1
960	1	26261	0
960	2	25252	0
960	3	26468	0
960	4	26324	0
960	5	27758	0
960	6	26610	0
960	7	26460	0
960	8	26311	0
960	9	26747	0
960	10	25276	0
968	1	24711	0
968	2	27223	0
968	3	24873	1
968	4	24808	1
968	5	26135	0
968	6	25026	0
968	7	26601	0
968	8	18682	1
968	9	27148	0
968	10	22546	1
976	1	26090	0
976	2	24389	0
976	3	26600	0
976	4	25421	0
976	5	19552	1
976	6	25061	0
976	7	24178	1
976	8	26320	0
976	9	26694	0
976	10	27206	0
984	1	23797	1
984	2	21003	1
984	3	26225	0
984	4	20824	1
984	5	25413	0
984	6	26057	0
984	7	26468	0
984	8	26569	0
984	9	26234	0
984	10	25447	0
992	1	27562	0
992	2	26607	0
992	3	26516	0
992	4	27187	0
992	5	24176	1
992	6	28726	0
992	7	28395	0
992	8	25650	0
992	9	25942	1
992	10	24265	1
1000	1	26920	0
1000	2	22140	1
1000	3	21614	1
1000	4	26626	0
1000	5	27789	0
1000	6	25920	0
1000	7	26583	0
1000	8	21119	1
1000	9	23853	1
1000	10	26544	0
1008	1	26146	0
1008	2	26155	0
1008	3	19556	1
1008	4	27385	0
1008	5	23661	1
1008	6	22717	1
1008	7	27533	0
1008	8	21106	1
1008	9	21801	1
1008	10	27891	0
1016	1	26206	0
1016	2	27482	0
1016	3	27615	0
1016	4	21690	1
1016	5	28091	0
1016	6	27730	0
1016	7	27439	0
1016	8	27901	0
1016	9	27508	0
1016	10	20839	1
1024	1	25713	1
1024	2	27884	0
1024	3	16169	1
1024	4	28006	0
1024	5	27577	1
1024	6	26823	0
1024	7	29734	0
1024	8	26091	1
1024	9	28728	0
1024	10	27693	0
